State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
Andhra Pradesh,9601.0,11704.0,11872.0,13324.0,14241.0,10538.0,7882.4,7746.2,6862.4
Arunachal Pradesh,135.0,146.2,146.2,158.1,163.9,215.8,234.0,255.0,263.0
Assam,3470.7,3552.5,2916.0,3319.0,4008.5,4335.9,4736.6,4516.3,5128.5
Bihar,2472.2,3495.5,4989.3,4418.1,5590.3,3599.3,3102.1,7162.6,7529.3
Chhattisgarh,4383.3,5011.6,5041.4,5426.6,4391.8,4110.4,6159.0,6028.4,6608.8
NCT of Delhi,14.3,24.0,31.1,31.4,31.4,19.3,19.6,19.8,19.7
Goa,145.2,147.3,130.3,121.6,123.3,100.6,115.0,121.8,122.8
Gujarat,1238.2,1298.0,1390.0,1474.0,1303.0,1292.0,1496.6,1790.0,1541.0
Haryana,3023.0,3210.0,3371.0,3613.0,3298.0,3625.0,3472.0,3759.0,3976.0
Himachal Pradesh,122.0,112.1,123.5,121.5,118.3,105.9,128.9,131.6,125.3
Jammu & Kashmir,492.2,556.8,554.0,561.3,563.1,497.4,507.7,544.7,818.1
Jharkhand,1677.0,1558.0,2967.8,3336.4,3420.2,1538.4,1110.0,3130.6,3164.9
Karnataka,3547.0,5744.0,3446.0,3717.0,3802.0,3691.0,4188.0,3955.0,3364.0
Kerala,667.1,629.9,631.0,528.5,590.3,598.3,522.7,569.0,508.3
Madhya Pradesh,1169.0,1656.3,1368.4,1461.9,1559.7,1260.6,1772.1,2227.3,2775.0
Maharashtra,2164.0,2695.0,2569.0,2996.0,2284.0,2183.0,2696.0,2841.0,3057.0
Manipur,435.9,386.1,386.1,406.2,397.0,319.9,521.7,591.0,257.6
Meghalaya,193.7,151.9,200.2,200.0,203.9,206.7,207.0,216.5,232.0
Mizoram,104.1,99.2,29.5,15.7,46.0,44.3,47.2,54.3,30.5
Nagaland,259.8,263.1,263.5,290.6,345.1,240.3,381.4,382.4,405.2
Odisha,6466.0,6859.0,6824.7,7540.7,6812.7,6917.5,6827.7,5807.0,7295.5
Puducherry,65.7,59.9,59.9,53.4,50.8,52.4,52.0,42.1,46.5
Punjab,10437.0,10193.0,10138.0,10489.0,11000.0,11236.0,10837.0,10542.0,11374.0
Rajasthan,150.4,153.0,169.8,259.6,241.1,228.3,265.5,253.4,222.5
Sikkim,21.6,21.5,21.5,22.9,21.7,24.3,21.0,20.9,21.3
Tamil Nadu,5062.2,5220.0,6610.6,5040.2,5182.7,5665.2,5792.4,7458.7,4049.9
Telangana,.,.,.,.,.,.,6535.6,5148.8,4647.6
Tripura,545.1,552.9,620.5,624.6,627.1,640.0,702.5,718.3,713.2
Uttar Pradesh,9555.6,11133.7,11124.0,11780.0,13097.0,10807.1,11992.0,14022.0,14416.0
Uttarakhand,572.0,590.0,556.0,593.0,582.0,608.0,550.4,594.0,579.8
West Bengal,14884.8,14510.8,14745.9,14719.5,15037.3,14340.7,13045.9,14605.8,15023.7
ALL INDIA,83131.7,91793.4,93355.3,96692.9,99182.5,89092.9,95979.8,105310.9,105231.6
