State/Union Territory,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Andhra Pradesh,6969.7,7233.9,7488.7,7452.4,8166.2,8234.7,8658.9,7882.9,7763.6,8542.3
Arunachal Pradesh,276.2,285.0,204.0,220.0,233.3,240.0,244.7,247.1,252.4,-
Assam,4927.1,5222.7,5125.1,4727.4,5283.7,5220.6,4984.6,5214.8,4382.1,4979.8
Bihar,5505.8,6356.7,6802.2,8239.3,8093.1,6155.5,6298.0,6747.0,7717.0,6725.2
Chhattisgarh,6716.4,6322.1,5789.4,8048.4,4930.8,6526.9,6774.8,7161.2,8021.7,8238.3
NCT of Delhi,29.6,25.9,17.3,17.3,16.8,16.8,16.8,19.8,19.0,-
Goa,126.5,120.5,115.1,113.2,103.0,98.8,90.4,87.3,90.4,-
Gujarat,1636.0,1830.9,1702.0,1930.0,1890.9,1912.1,1983.1,2145.7,2101.1,2395.2
Haryana,3998.0,4006.0,4145.0,4453.0,4523.38,4516.1,4824.3,4424.9,4618.0,5406.9
Himachal Pradesh,120.8,125.2,129.9,146.6,114.79,114.9,143.8,140.5,167.5,119.2
Jammu & Kashmir,610.9,517.2,646.4,572.2,513.14,615.8,587.0,581.5,492.9,-
Jharkhand,2810.6,3361.9,2882.2,3841.8,4078.04,2893.9,3012.8,2752.9,2930.5,1399.8
Karnataka,3572.6,3541.0,3021.0,2604.8,3017.1,3431.0,3634.5,4291.8,4318.4,4001.3
Kerala,509.2,562.1,549.3,437.1,521.3,578.3,605.6,633.8,487.0,581.4
Madhya Pradesh,2844.8,3625.3,3546.7,4226.8,4123.9,4494.7,4778.2,4413.8,4814.9,7657.2
Maharashtra,3120.0,2946.0,2593.0,3109.5,2730.8,3275.7,2897.6,3291.7,3598.1,3899.1
Manipur,398.5,334.1,338.8,430.4,607.8,401.6,385.5,602.2,567.4,-
Meghalaya,273.9,298.2,301.1,203.0,304.6,202.0,303.4,295.9,297.3,-
Mizoram,59.0,60.7,62.1,61.5,59.6,60.0,60.0,62.2,60.9,-
Nagaland,429.6,454.2,318.8,336.7,349.6,356.7,363.3,367.4,150.7,-
Odisha,7613.4,8298.2,5875.4,8325.9,6551.3,7733.7,8360.4,8810.3,9290.8,9621.2
Puducherry,49.8,52.7,43.9,52.2,42.5,63.3,59.4,50.0,57.1,-
Punjab,11267.0,11107.0,11823.0,11586.2,13381.79,12821.6,11779.3,12783.7,12885.5,13146.7
Rajasthan,312.6,366.7,369.8,452.7,450.87,453.2,480.5,634.0,478.6,577.4
Sikkim,20.3,20.1,13.1,19.7,17.63,17.2,16.1,16.2,16.0,-
Tamil Nadu,5349.8,5727.8,7517.1,2369.4,6638.9,6130.9,7171.1,6881.2,7906.6,7850.6
Telangana,5755.0,4440.8,3047.0,5173.4,6262.2,6670.0,7427.8,10217.1,12409.6,16013.9
Tripura,711.8,747.0,794.8,814.6,812.1,793.2,810.2,803.1,811.0,-
Uttar Pradesh,14636.0,12167.9,12501.0,13754.0,13274.0,15545.3,15517.8,15520.0,15271.5,15171.3
Uttarakhand,578.6,603.7,639.1,630.0,646.7,617.6,658.4,714.9,716.1,641.7
West Bengal,15370.7,14677.2,15953.9,15302.5,14967.0,16242.2,15881.4,16524.4,16728.7,15636.9
ALL INDIA,106645.5,104798.5,104408.2,109698.4,112757.6,116477.8,118870.3,124368.3,129471.4,135542.0
